species_work,priority,plant_growth_form,life_history,woodiness,fruit_type,fruit_fleshiness,fruit_fleshiness_source,fruit_colour,growth_substrate,plant_height,seed_dry_mass,leaf_mass_per_area,leaf_length,leaf_width,leaf_area,leaf_N_per_dry_mass,seed_length,seed_width,fruit_length,fruit_width,wood_density
Acacia salicina,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,green grey,,13,43,153,108,12,267,29.6,5.43,4.47,64.9,9.54,0.581
Araucaria cunninghamii,priority,tree,perennial,woody,,,,,,50,270,196,8.32,2.45,9.12,19.6,10,4.47,70.7,59.2,0.443
Araucaria heterophylla,,tree,perennial,woody,strobilus,,,,,70,2000,,5.29,4.24,,,27.4,14,62.2,31.9,
Agave vivipara,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,5,,,849,59.2,,,10.4,7.48,50,,
Ageratum conyzoides,priority,herb,annual perennial,herbaceous,achene nut,dry,AusTraits consensus,black,,1,0.86,11.308123756106387,40.4,29.3,3300,,,,1.65,,
Ageratum houstonianum,,herb,annual perennial,herbaceous,achene,dry,Inferred from fruit type,black,,1,0.1234646893843851,,39.8,30,,,,,2,,
Asclepias curassavica,,shrub,perennial,woody,follicle,dry,AusTraits consensus,,,1.5,2.684393828758049,,89.4,12.8,,,6,3,64.6,8.94,
Symphyotrichum subulatum,priority,herb,annual perennial,herbaceous,achene,dry,Inferred from fruit type,,,1.8,,60.5,36,5.57,1070,,1.76,0.41,1.83,,
Axonopus compressus,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,0.39,57.83021050196622,77.5,6.16,517,,,,,,
Bidens bipinnata,,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,black brown red,,1.2,4.09,17.999999999927994,66.1,49,,39.7,,,14.4,,
Bidens pilosa,priority,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,black,,1.5,1.5,39.186301292382815,84.9,56.6,,,,,8,,
Bothriochloa pertusa,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.7,0.7,74.9917802082068,122,3.54,394,,,,,,
Cascabela thevetia,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,black,,9,706.8866097697328,66.11611279796684,102,4.9,,,14,,25.6,33.5,
Senna pendula,priority,shrub,perennial,woody,legume,dry,AusTraits consensus,yellow,,8,,48.29751267809708,31.6,12.2,,,6,,118,9.9,0.63
Catharanthus roseus,priority,herb,perennial,semi-woody,follicle,dry,AusTraits consensus,,,0.7,1.4149094579391812,,44.7,17.3,,,2,,29.6,,
Cenchrus echinatus,priority,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,0.6,17.2,,100,5.73,566,,,,2.81,,
Chamaecrista rotundifolia,,herb,annual perennial,herbaceous,legume,dry,Inferred from fruit type,,,0.2,,,13.2,12.2,,,,,24.5,3.87,
Chloris gayana,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,0.3,56.18318377731067,229,4.79,1010,,,,,,
Chloris barbata,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown red,,0.9,0.19383767643050184,,140,3.16,462,,,,1.73,,
Chloris ventricosa,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown red,,1,0.215,89.5,75.2,2.45,141,,2.12,,2.2,,
Dypsis lutescens,,palmoid,perennial,semi-woody,,,,,,12,703.5810919667048,,,,,,,,,,
Cirsium vulgare,priority,herb,annual,herbaceous,achene,dry,Inferred from fruit type,brown grey yellow,,1.5,2.9,100,100,100,,,,,4.16,,
Cocos nucifera,priority,palmoid,perennial,semi-woody,drupe,fleshy,AusTraits consensus,green orange yellow,,35,361000,,1300,50,,,89.4,,214,126,
Erigeron bonariensis,priority,herb,annual,herbaceous,achene,dry,AusTraits consensus,,,1.5,0.1,85.4,52.4,6.38,78.5,,,,1.6,0.4,
Erigeron canadensis,priority,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,brown orange,,2.5,0.05,72.47590241348337,39,3.98,,,,,1.12,,
Cucumis althaeoides,,climber_herbaceous,perennial,herbaceous,berry,fleshy,AusTraits consensus,red,,,8.28,,43.1,33,,,4.69,2.85,9.64,8.64,
Cynodon dactylon,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown,,0.4,0.25,108,31.5,1.47,73.2,,1,,,,
Delonix regia,priority,tree,perennial,woody,legume,dry,AusTraits consensus,brown,,15,413.9867423444942,,13.9,2.99,,,18.4,6.96,366,42.7,
Digitaria violascens,priority,graminoid,annual,herbaceous,caryopsis,dry,AusTraits consensus,,,0.5,0.41,,86.6,3.6,378,,,,1.1,,
Duranta erecta,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,orange yellow,,7,103.80784335697837,,38.7,28.7,,,3.46,,8.76,8.62,
Emilia sonchifolia,priority,herb,annual,herbaceous,achene,dry,Inferred from fruit type,brown yellow,,0.9,,,45.8,21.9,,,,,3.12,,
Euphorbia cyathophora,priority,herb,annual,herbaceous,capsule,dry,AusTraits consensus,,,2,,,46.9,24.5,,,2.41,2.28,3.46,5.48,
Helianthus argophyllus,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,black grey,,3,4.634,,132,70,,,,,4.9,,
Hyparrhenia rufa,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,3,0.3,,245,3.48,1050,,,,,,
Mesosphaerum suaveolens,,herb,perennial,herbaceous,nut,dry,AusTraits consensus,,,3,5,,,,,,,,6.32,,
Jacaranda mimosifolia,,tree,perennial,woody,capsule,dry,Inferred from fruit type,brown red,,20,11.320733005507451,,20.6,2,,,,,80,80,
Leucaena leucocephala,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,brown,,8,42.23709761654165,68.14056835068513,18.8,2.59,,,6.15,4.05,116,17,
Macroptilium atropurpureum,,climber_herbaceous,annual perennial,herbaceous,legume,dry,AusTraits consensus,brown,,5,14.164285087240149,,37.8,26.8,,,2.83,,71.4,3.87,
Malvastrum coromandelianum,priority,herb,annual,herbaceous,capsule mericarp schizocarp,dry,Inferred from fruit type,brown,,0.5,1.76,,30.3,19.2,,,1.94,1.88,2.37,4.75,
Marrubium vulgare,priority,herb,perennial,semi-woody,mericarp,,,,,0.9,0.8559365687950548,116,18.7,14.6,129,,,,2,,
Megathyrsus maximus,priority,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,4.5,1.05,,245,11.1,11500,,,,,,
Melinis minutiflora,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.2,0.11,51.06338670043017,100,6.55,525,,,,,,
Melinis repens,priority,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,0.317,90.1,122,3.47,299,,,,,,
Paspalum plicatulum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1,1.6,,155,3.74,513,,,,,,
Passiflora foetida,priority,climber_woody,perennial,woody,berry,fleshy,AusTraits consensus,green orange yellow,,9,6.32,,59.6,87.2,10400,27.7,5,,22.5,21.1,
Passiflora suberosa,priority,climber_herbaceous,perennial,herbaceous,berry,fleshy,AusTraits consensus,black purple,,,39.9,58.400000000397064,58.1,40,,,3.46,,10.3,9.72,0.293
Cenchrus ciliaris,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,0.72,,86.6,4.75,420,16.6,,,1.14,,
Perotis rara,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.4,0.243,,12.2,2,52.5,,,,,,
Plumeria rubra,priority,tree,perennial,woody,,,,,,8,38.383450490270604,,,,,,,,,,
Tradescantia spathacea,priority,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.2,,,229,33.5,,,,,,,
Richardia brasiliensis,,herb,annual perennial,herbaceous,mericarp,,,,,0.1,1.0718634196121286,,15.8,9.17,,,,,2.74,,
Schefflera digitata,,tree,perennial,woody,,,,,,6,1.6838922776978387,,,,,,,,,,
Senna occidentalis,,shrub,annual perennial,woody,legume,dry,AusTraits consensus,brown yellow,,2.5,16.4369765339966,,61,30.7,,,4.71,2.83,125,7.84,
Sida cordifolia,,shrub,perennial,woody,mericarp schizocarp,,,,,1.5,2.89,,20,17.3,,,3,1,3.46,6.38,
Sida rhombifolia,priority,shrub tree,perennial,woody,mericarp schizocarp,dry,AusTraits consensus,,,2,0.86,115,36,9.39,226,,,1.05,,5.22,
Sida spinosa,,herb,perennial,semi-woody,mericarp schizocarp,,,,,1,2.16,34.19999999992478,27.1,5.96,,,2,1,5,4.95,
