species_work,lower_limit,upper_limit,upper_limit_max,lower_limit_min,n
Abelmoschus moschatus,19.69999999999999,28,37.39999999999998,11.300000000000011,200
Abildgaardia ovata,14.199999999999989,28.59999999999997,38.30000000000001,4,131
Abrus precatorius,19.30000000000001,28.5,39.5,9,345
Abutilon cunninghamii,21.80000000000001,27.399999999999977,41.60000000000002,7.800000000000011,52
Abutilon indicum,21.5,28.399999999999977,38,10.800000000000011,284
Abutilon oxycarpum,12.599999999999966,29,41.19999999999999,1.8999999999999773,371
Acacia anceps,15.300000000000011,17.69999999999999,31.399999999999977,6.399999999999977,151
Acacia arida,21.69999999999999,28.5,41.10000000000002,7.099999999999966,138
Acacia aulacocarpa,15.199999999999989,28.69999999999999,38.89999999999998,4.399999999999977,287
Acacia auriculiformis,20.19999999999999,28.69999999999999,38.60000000000002,12.199999999999989,357
Acacia bivenosa,20.5,29.09999999999997,41.30000000000001,4.800000000000011,526
Acacia calamifolia,11.899999999999975,20.399999999999977,35.19999999999999,2.3000000000000114,333
Acacia conniana,14.800000000000011,16.599999999999966,30.59999999999997,5.099999999999966,35
Acacia coriacea,21.19999999999999,27.80000000000001,41.39999999999998,5.800000000000011,176
Acacia cyclops,14,22.899999999999977,38.19999999999999,3.599999999999966,272
Acacia deltoidea,24.69999999999999,27.59999999999997,38.30000000000001,13.199999999999989,65
Acacia genistifolia,8.300000000000011,17.399999999999977,31.5,-2.3000000000000114,383
Acacia gonocarpa,25.30000000000001,28.59999999999997,39.30000000000001,12.800000000000011,271
Acacia holosericea,18.19999999999999,29.09999999999997,40.39999999999998,6.300000000000011,836
Acacia humifusa,19.19999999999999,28.59999999999997,38.60000000000002,9.099999999999966,365
Acacia implexa,10,23.30000000000001,33.30000000000001,-0.8000000000000114,308
Acacia leiocalyx,13.699999999999989,23.30000000000001,35.10000000000002,1.8999999999999773,437
Acacia leptocarpa,17.80000000000001,28,38.10000000000002,6,522
Acacia ligulata,14.099999999999966,28,41.19999999999999,2.3000000000000114,1564
Acacia littorea,14.899999999999975,18.59999999999997,27.80000000000001,7.099999999999966,143
Acacia longifolia,4.699999999999989,21.899999999999977,32.30000000000001,-2.1999999999999886,781
Acacia melanoxylon,5.199999999999989,27.30000000000001,36.10000000000002,-3.8000000000000114,710
Acacia mucronata,4.699999999999989,16.5,28,-2.3000000000000114,448
Acacia multisiliqua,20,29.09999999999997,38.89999999999998,9,398
Acacia myrtifolia,5.399999999999977,26.19999999999999,35.10000000000002,-2.6000000000000227,969
Acacia oncinocarpa,25.09999999999997,27.899999999999977,38,12.800000000000011,221
Acacia oswaldii,11.300000000000011,27.19999999999999,39.89999999999998,1.1999999999999886,995
Acacia platycarpa,20.5,29.09999999999997,40.5,6.699999999999989,431
Acacia plectocarpa,25,29.30000000000001,40.19999999999999,12.599999999999966,352
Acacia podalyriifolia,12,23.09999999999997,33.69999999999999,0.8000000000000114,154
Acacia polystachya,19.80000000000001,26.899999999999977,35.30000000000001,11.199999999999989,194
