species_work,lower_limit,upper_limit,upper_limit_max,lower_limit_min,diff
Abelmoschus moschatus,22.5,26.599999999999966,30.099999999999966,17.80000000000001,4.099999999999966
Abildgaardia ovata,22.5,26.399999999999977,29.69999999999999,16.80000000000001,3.8999999999999773
Abrus precatorius,21,27.5,34.5,14.399999999999977,6.5
Abutilon cunninghamii,21.899999999999977,25.599999999999966,30.399999999999977,15.399999999999977,3.6999999999999886
Abutilon indicum,22.5,27.5,31,16.80000000000001,5
Abutilon oxycarpum,21.099999999999966,27.19999999999999,30.5,15.399999999999977,6.100000000000023
Acacia anceps,15.899999999999977,17.19999999999999,26.69999999999999,9.5,1.3000000000000114
Acacia arida,25.599999999999966,27.5,33,20.19999999999999,1.900000000000034
Acacia aulacocarpa,23.399999999999977,26.69999999999999,29.69999999999999,17.899999999999977,3.3000000000000114
Acacia auriculiformis,26.19999999999999,26.69999999999999,30.5,22.099999999999966,0.5
Acacia bivenosa,21.69999999999999,25.599999999999966,29.899999999999977,17.899999999999977,3.8999999999999773
Acacia calamifolia,15.899999999999977,16.19999999999999,21.899999999999977,10.899999999999977,0.30000000000001137
Acacia conniana,16.30000000000001,16.599999999999966,22.5,11.300000000000011,0.2999999999999545
Acacia coriacea,21.69999999999999,25.599999999999966,29.899999999999977,17.899999999999977,3.8999999999999773
Acacia cyclops,15.599999999999966,19.5,28.399999999999977,10.300000000000011,3.900000000000034
Acacia deltoidea,27.099999999999966,27.399999999999977,35.10000000000002,17.599999999999966,0.30000000000001137
Acacia genistifolia,12.199999999999989,14.599999999999966,21.19999999999999,6.300000000000011,2.3999999999999773
Acacia gonocarpa,26.599999999999966,27.5,35.10000000000002,17.599999999999966,0.9000000000000341
Acacia holosericea,23.5,28.30000000000001,35.19999999999999,17.899999999999977,4.800000000000011
Acacia humifusa,25.399999999999977,27.399999999999977,30.30000000000001,22.80000000000001,2
Acacia implexa,14,16.599999999999966,23.599999999999966,9,2.599999999999966
Acacia leiocalyx,21,24.5,30.099999999999966,14.399999999999977,3.5
Acacia leptocarpa,23.399999999999977,27.19999999999999,30.5,17.899999999999977,3.8000000000000114
Acacia ligulata,15.800000000000011,22.099999999999966,30.399999999999977,9.5,6.2999999999999545
Acacia littorea,15.599999999999966,18.599999999999966,24.80000000000001,10.399999999999977,3
Acacia longifolia,12.199999999999989,22.5,30.099999999999966,7.699999999999989,10.300000000000011
Acacia melanoxylon,11.599999999999966,21.30000000000001,25.80000000000001,6.300000000000011,9.700000000000045
Acacia mucronata,13.199999999999989,14.599999999999966,21.19999999999999,9.5,1.3999999999999773
Acacia multisiliqua,23.399999999999977,27.399999999999977,32.39999999999998,18.30000000000001,4
Acacia myrtifolia,12.199999999999989,16.5,23.899999999999977,6.300000000000011,4.300000000000011
Acacia oncinocarpa,26.599999999999966,26.599999999999966,30.5,22.099999999999966,0
Acacia oswaldii,16.19999999999999,17.19999999999999,26.599999999999966,9.5,1
Acacia platycarpa,26.30000000000001,28.30000000000001,35.19999999999999,19.80000000000001,2
Acacia plectocarpa,26.599999999999966,28.30000000000001,35.19999999999999,17.599999999999966,1.7000000000000455
Acacia podalyriifolia,18,22.5,30.099999999999966,10.099999999999966,4.5
Acacia polystachya,23.5,26.399999999999977,29.69999999999999,17.899999999999977,2.8999999999999773
Acacia pulchella,18,18,28.5,10.099999999999966,0
Acacia retinervis,27.099999999999966,27.5,32.69999999999999,20.099999999999966,0.4000000000000341
Acacia rostellifera,16.5,21.19999999999999,29.599999999999966,11.099999999999966,4.699999999999989
Acacia saligna,15.800000000000011,21,28.5,10.099999999999966,5.199999999999989
Acacia simsii,23.5,26.599999999999966,30.5,17.899999999999977,3.099999999999966
Acacia stigmatophylla,27.099999999999966,27.5,35.10000000000002,17.599999999999966,0.4000000000000341
Acacia suaveolens,12.199999999999989,21.5,27.399999999999977,6.300000000000011,9.300000000000011
Acacia torulosa,26.599999999999966,26.69999999999999,30.5,22.099999999999966,0.10000000000002274
Acacia translucens,27.099999999999966,28.30000000000001,35.19999999999999,19.80000000000001,1.2000000000000455
Acacia tumida,27.19999999999999,28.30000000000001,35.19999999999999,19.5,1.1000000000000227
Acacia ulicifolia,13.699999999999989,22.5,30.099999999999966,9.099999999999966,8.800000000000011
Acacia verticillata,11.599999999999966,15.800000000000011,23.899999999999977,6.300000000000011,4.2000000000000455
Acacia yirrkallensis,26.599999999999966,26.69999999999999,29.19999999999999,22.899999999999977,0.10000000000002274
Acaena echinata,12.199999999999989,15.800000000000011,23.899999999999977,8.5,3.6000000000000227
Acaena novae-zelandiae,11.599999999999966,16.899999999999977,23.899999999999977,6.899999999999977,5.300000000000011
Acaena pallida,12.099999999999966,14.399999999999977,20.399999999999977,8.5,2.3000000000000114
Acanthocarpus preissii,16.19999999999999,25.099999999999966,30.399999999999977,11.5,8.899999999999977
Acanthospermum hispidum,21.30000000000001,26.30000000000001,30.099999999999966,15.599999999999966,5
Acanthus ilicifolius,26.19999999999999,26.399999999999977,29.30000000000001,24,0.19999999999998863
Achillea millefolium,11.599999999999966,14,20.19999999999999,8.099999999999966,2.400000000000034
Achyranthes aspera,21,28.30000000000001,35.19999999999999,14.399999999999977,7.300000000000011
Acianthus pusillus,14.199999999999989,22.5,30.099999999999966,10.199999999999989,8.300000000000011
Acrostichum aureum,26.30000000000001,26.69999999999999,29.30000000000001,24,0.39999999999997726
Acrostichum speciosum,22.5,26.69999999999999,30.099999999999966,16.80000000000001,4.199999999999989
Acrotriche cordata,14.399999999999977,18.599999999999966,27.599999999999966,9.899999999999977,4.199999999999989
Acrotriche patula,15.800000000000011,17.099999999999966,24.099999999999966,10.199999999999989,1.2999999999999545
Actinobole condensatum,20.399999999999977,22,27.69999999999999,16.599999999999966,1.6000000000000227
Actites megalocarpus,11.599999999999966,22.5,30.099999999999966,8.099999999999966,10.900000000000034
