species_work,status,lower_limit,upper_limit,upper_limit_max,lower_limit_min,diff,n
Abelmoschus moschatus,native,22.5,26.599999999999966,30.099999999999966,17.80000000000001,4.099999999999966,6
Abildgaardia ovata,native,22.5,26.399999999999977,29.69999999999999,16.80000000000001,3.8999999999999773,7
Abrus precatorius,native,21,27.5,34.5,14.399999999999977,6.5,88
Abutilon cunninghamii,native,21.899999999999977,25.599999999999966,30.399999999999977,15.399999999999977,3.6999999999999886,13
Abutilon indicum,native,22.5,27.5,31,16.80000000000001,5,174
Abutilon oxycarpum,native,21.099999999999966,27.19999999999999,30.5,15.399999999999977,6.100000000000023,9
Acacia anceps,native,15.899999999999977,17.19999999999999,26.69999999999999,9.5,1.3000000000000114,7
Acacia arida,native,25.599999999999966,27.5,33,20.19999999999999,1.900000000000034,8
Acacia aulacocarpa,native,23.399999999999977,26.69999999999999,29.69999999999999,17.899999999999977,3.3000000000000114,24
Acacia auriculiformis,native,26.19999999999999,26.69999999999999,30.5,22.099999999999966,0.5,12
Acacia bivenosa,native,21.69999999999999,25.599999999999966,29.899999999999977,17.899999999999977,3.8999999999999773,6
Acacia calamifolia,native,15.899999999999977,16.19999999999999,21.899999999999977,10.899999999999977,0.30000000000001137,8
Acacia conniana,native,16.30000000000001,16.599999999999966,22.5,11.300000000000011,0.2999999999999545,9
Acacia coriacea,native,21.69999999999999,25.599999999999966,29.899999999999977,17.899999999999977,3.8999999999999773,8
Acacia cyclops,native,15.599999999999966,19.5,28.399999999999977,10.300000000000011,3.900000000000034,46
Acacia deltoidea,native,27.099999999999966,27.399999999999977,35.10000000000002,17.599999999999966,0.30000000000001137,8
Acacia genistifolia,native,12.199999999999989,14.599999999999966,21.19999999999999,6.300000000000011,2.3999999999999773,10
Acacia gonocarpa,native,26.599999999999966,27.5,35.10000000000002,17.599999999999966,0.9000000000000341,16
Acacia holosericea,native,23.5,28.30000000000001,35.19999999999999,17.899999999999977,4.800000000000011,11
Acacia humifusa,native,25.399999999999977,27.399999999999977,30.30000000000001,22.80000000000001,2,13
Acacia implexa,native,14,16.599999999999966,23.599999999999966,9,2.599999999999966,9
Acacia leiocalyx,native,21,24.5,30.099999999999966,14.399999999999977,3.5,6
Acacia leptocarpa,native,23.399999999999977,27.19999999999999,30.5,17.899999999999977,3.8000000000000114,24
Acacia ligulata,native,15.800000000000011,22.099999999999966,30.399999999999977,9.5,6.2999999999999545,21
Acacia littorea,native,15.599999999999966,18.599999999999966,24.80000000000001,10.399999999999977,3,8
Acacia longifolia,native,12.199999999999989,22.5,30.099999999999966,7.699999999999989,10.300000000000011,83
Acacia melanoxylon,native,11.599999999999966,21.30000000000001,25.80000000000001,6.300000000000011,9.700000000000045,31
Acacia mucronata,native,13.199999999999989,14.599999999999966,21.19999999999999,9.5,1.3999999999999773,18
Acacia multisiliqua,native,23.399999999999977,27.399999999999977,32.39999999999998,18.30000000000001,4,24
Acacia myrtifolia,native,12.199999999999989,16.5,23.899999999999977,6.300000000000011,4.300000000000011,15
Acacia oncinocarpa,native,26.599999999999966,26.599999999999966,30.5,22.099999999999966,0,23
Acacia oswaldii,native,16.19999999999999,17.19999999999999,26.599999999999966,9.5,1,7
Acacia platycarpa,native,26.30000000000001,28.30000000000001,35.19999999999999,19.80000000000001,2,6
Acacia plectocarpa,native,26.599999999999966,28.30000000000001,35.19999999999999,17.599999999999966,1.7000000000000455,15
Acacia podalyriifolia,native,18,22.5,30.099999999999966,10.099999999999966,4.5,8
Acacia polystachya,native,23.5,26.399999999999977,29.69999999999999,17.899999999999977,2.8999999999999773,9
Acacia pulchella,native,18,18,28.5,10.099999999999966,0,11
Acacia retinervis,native,27.099999999999966,27.5,32.69999999999999,20.099999999999966,0.4000000000000341,13
Acacia rostellifera,native,16.5,21.19999999999999,29.599999999999966,11.099999999999966,4.699999999999989,40
Acacia saligna,native,15.800000000000011,21,28.5,10.099999999999966,5.199999999999989,20
Acacia simsii,native,23.5,26.599999999999966,30.5,17.899999999999977,3.099999999999966,8
Acacia stigmatophylla,native,27.099999999999966,27.5,35.10000000000002,17.599999999999966,0.4000000000000341,17
Acacia suaveolens,native,12.199999999999989,21.5,27.399999999999977,6.300000000000011,9.300000000000011,20
Acacia torulosa,native,26.599999999999966,26.69999999999999,30.5,22.099999999999966,0.10000000000002274,13
Acacia translucens,native,27.099999999999966,28.30000000000001,35.19999999999999,19.80000000000001,1.2000000000000455,7
Acacia tumida,native,27.19999999999999,28.30000000000001,35.19999999999999,19.5,1.1000000000000227,13
Acacia ulicifolia,native,13.699999999999989,22.5,30.099999999999966,9.099999999999966,8.800000000000011,6
Acacia verticillata,native,11.599999999999966,15.800000000000011,23.899999999999977,6.300000000000011,4.2000000000000455,35
Acacia yirrkallensis,native,26.599999999999966,26.69999999999999,29.19999999999999,22.899999999999977,0.10000000000002274,10
Acaena echinata,native,12.199999999999989,15.800000000000011,23.899999999999977,8.5,3.6000000000000227,6
Acaena novae-zelandiae,native,11.599999999999966,16.899999999999977,23.899999999999977,6.899999999999977,5.300000000000011,81
Acaena pallida,native,12.099999999999966,14.399999999999977,20.399999999999977,8.5,2.3000000000000114,12
Acanthocarpus preissii,native,16.19999999999999,25.099999999999966,30.399999999999977,11.5,8.899999999999977,86
Acanthospermum hispidum,introduced,21.30000000000001,26.30000000000001,30.099999999999966,15.599999999999966,5,7
Acanthus ilicifolius,native,26.19999999999999,26.399999999999977,29.30000000000001,24,0.19999999999998863,6
Achillea millefolium,introduced,11.599999999999966,14,20.19999999999999,8.099999999999966,2.400000000000034,6
Achyranthes aspera,native,21,28.30000000000001,35.19999999999999,14.399999999999977,7.300000000000011,161
Acianthus pusillus,native,14.199999999999989,22.5,30.099999999999966,10.199999999999989,8.300000000000011,7
Acrostichum aureum,native,26.30000000000001,26.69999999999999,29.30000000000001,24,0.39999999999997726,6
Acrostichum speciosum,native,22.5,26.69999999999999,30.099999999999966,16.80000000000001,4.199999999999989,10
Acrotriche cordata,native,14.399999999999977,18.599999999999966,27.599999999999966,9.899999999999977,4.199999999999989,22
Acrotriche patula,native,15.800000000000011,17.099999999999966,24.099999999999966,10.199999999999989,1.2999999999999545,7
Actinobole condensatum,native,20.399999999999977,22,27.69999999999999,16.599999999999966,1.6000000000000227,10
Actites megalocarpus,native,11.599999999999966,22.5,30.099999999999966,8.099999999999966,10.900000000000034,86
Adansonia gregorii,native,27.099999999999966,28.30000000000001,35.19999999999999,17.599999999999966,1.2000000000000455,10
Adenia heterophylla,native,26.5,28.30000000000001,35.19999999999999,17.599999999999966,1.8000000000000114,32
Adiantum aethiopicum,native,14,24.5,29.69999999999999,9.199999999999989,10.5,11
Adiantum hispidulum,native,17.80000000000001,24.5,30.099999999999966,9.199999999999989,6.699999999999989,9
Aegialitis annulata,native,22.5,28.30000000000001,35.19999999999999,17.80000000000001,5.800000000000011,59
Aegiceras corniculatum,native,21,26.69999999999999,30.099999999999966,14.599999999999966,5.699999999999989,27
Afrohybanthus aurantiacus,native,25.599999999999966,28.30000000000001,35.19999999999999,19.80000000000001,2.7000000000000455,11
Afrohybanthus enneaspermus,native,22.5,27.5,33,16.80000000000001,5,28
Agave americana,introduced,12.399999999999977,22.69999999999999,27.399999999999977,6.899999999999977,10.300000000000011,10
Agave sisalana,native,18.599999999999966,26.399999999999977,30.099999999999966,14.099999999999966,7.800000000000011,12
Agave vivipara,introduced,21.30000000000001,26.399999999999977,29.69999999999999,15.599999999999966,5.099999999999966,8
Ageratum conyzoides,introduced,22.5,26.399999999999977,29.69999999999999,16.80000000000001,3.8999999999999773,9
Aglaia brownii,native,23.5,26.69999999999999,30.5,18.899999999999977,3.1999999999999886,20
Aglaia elaeagnoidea,native,23.399999999999977,27.5,35.10000000000002,17.599999999999966,4.100000000000023,31
Agonis flexuosa,native,15.399999999999977,18.5,27.599999999999966,9.699999999999989,3.1000000000000227,14
Aidia racemosa,native,23.399999999999977,27.5,35.10000000000002,17.599999999999966,4.100000000000023,30
Aira caryophyllea,introduced,11.599999999999966,19.5,28.5,6.300000000000011,7.900000000000034,82
Aira cupaniana,introduced,15.800000000000011,18.599999999999966,27.599999999999966,11.599999999999966,2.7999999999999545,9
Aira elegantissima,introduced,11.599999999999966,15.800000000000011,23.899999999999977,8.099999999999966,4.2000000000000455,8
Aira praecox,introduced,11.599999999999966,16.599999999999966,21.30000000000001,8.099999999999966,5,8
Ajuga australis,native,13.599999999999966,15.800000000000011,23.899999999999977,9.899999999999977,2.2000000000000455,6
Albizia lebbeck,native,24.5,27.399999999999977,35.10000000000002,17.599999999999966,2.8999999999999773,9
Alectryon oleifolius,native,21.099999999999966,25.599999999999966,30.399999999999977,15.399999999999977,4.5,9
Allocasuarina littoralis,native,12.800000000000011,23.69999999999999,30.099999999999966,6.300000000000011,10.899999999999977,18
Allocasuarina monilifera,native,12.199999999999989,14.300000000000011,20.19999999999999,6.300000000000011,2.1000000000000227,12
Allocasuarina verticillata,native,11.599999999999966,16.5,24.399999999999977,6.300000000000011,4.900000000000034,64
Allophylus cobbe,native,26.19999999999999,26.599999999999966,29.30000000000001,22.80000000000001,0.39999999999997726,9
Alloteropsis semialata,native,22.5,27.399999999999977,35.10000000000002,16.80000000000001,4.899999999999977,23
Alphitonia excelsa,native,21.5,26.69999999999999,30.5,16.19999999999999,5.199999999999989,18
Alpinia caerulea,native,21.30000000000001,26.19999999999999,30.099999999999966,15.599999999999966,4.899999999999977,8
Alstonia actinophylla,native,26.30000000000001,27.5,32.19999999999999,21.099999999999966,1.1999999999999886,7
Alstonia linearis,native,27.099999999999966,27.399999999999977,35.10000000000002,17.599999999999966,0.30000000000001137,6
Alstonia spectabilis,native,26.19999999999999,27.5,29.899999999999977,23.69999999999999,1.3000000000000114,6
Alternanthera brasiliana,introduced,21.30000000000001,26.599999999999966,30.099999999999966,15.599999999999966,5.2999999999999545,12
Alternanthera denticulata,native,15.800000000000011,26.19999999999999,30.099999999999966,10.5,10.399999999999977,10
Alternanthera pungens,introduced,22.5,26.399999999999977,30.099999999999966,17.80000000000001,3.8999999999999773,8
Alysicarpus ovalifolius,introduced,23.5,27.399999999999977,34.5,19.099999999999966,3.8999999999999773,6
Alysicarpus vaginalis,introduced,23.399999999999977,27.19999999999999,33,17.899999999999977,3.8000000000000114,10
Alyxia buxifolia,native,13.199999999999989,21.19999999999999,27.599999999999966,7.399999999999977,8,119
Alyxia ruscifolia,native,21,23.69999999999999,27.80000000000001,14.399999999999977,2.6999999999999886,6
Alyxia spicata,native,23.5,27.30000000000001,30.5,17.899999999999977,3.8000000000000114,44
Amaranthus interruptus,native,23.69999999999999,27.399999999999977,30.599999999999966,18.399999999999977,3.6999999999999886,18
Amaranthus undulatus,native,22.099999999999966,28.30000000000001,35.19999999999999,15.399999999999977,6.2000000000000455,22
Amaranthus viridis,introduced,15.399999999999977,27.19999999999999,30.5,9.699999999999989,11.800000000000011,57
Ampelocissus acetosa,native,25.399999999999977,27.5,35.10000000000002,17.599999999999966,2.1000000000000227,34
Amperea xiphoclada,native,12.099999999999966,22.5,30.099999999999966,6.300000000000011,10.400000000000034,17
Amphibolis antarctica,native,14.399999999999977,21.69999999999999,27.69999999999999,10.399999999999977,7.300000000000011,6
Amyema benthamii,native,27.099999999999966,28.30000000000001,35.19999999999999,19.099999999999966,1.2000000000000455,11
Amyema congener,native,16.5,24.5,30.099999999999966,9.199999999999989,8,9
Amyema linophylla,native,18,22.5,30.099999999999966,10.199999999999989,4.5,6
Amyema mackayensis,native,23.5,27.19999999999999,30.5,18.899999999999977,3.6999999999999886,6
Amyema miquelii,native,18,27.19999999999999,30.5,10.099999999999966,9.199999999999989,11
Amyema sanguinea,native,24.5,27.399999999999977,31,17.899999999999977,2.8999999999999773,7
