"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's","p.value"
"lower_limit_islands",11.6,14,21,19.2733202870189,23.7,27.2,11.6,NA
"lower_limit_mainland",4.04909999999999,12.59,16.8139,17.1198300717547,22.0397,26.6379,4.04909999999999,NA
"lower_limit",2.80000000000001,10.4,14.6,14.9079582517939,19.9,26.5,2.80000000000001,NA
"upper_limit_islands",12.2,19.5,26.3,23.485453359426,27.4,28.3,12.2,NA
"upper_limit_mainland",9.40359999999998,19.4773,25.776,23.6407464448793,27.6744,29.2285,9.40359999999998,NA
"upper_limit",12.7,21.5,27,25.06614481409,28.6,29.5,12.7,NA
"upper_limit_max_islands",17.1,27.6,29.7,29.3907371167645,31.8,35.2,17.1,NA
"upper_limit_max_mainland",18.0884,30.5802,35.3197,33.9713043052838,37.8594,41.39,18.0884,NA
"upper_limit_max",18.4,33.2,37.3,36.0254403131115,39.5,41.6,18.4,NA
"lower_limit_min_islands",6.30000000000001,9.5,14.4,13.760534898891,17.9,24.3,6.30000000000001,NA
"lower_limit_min_mainland",-6.16520000000001,3.68729999999999,6.16739999999999,7.36949628180038,11.8551,22.5491,-6.16520000000001,NA
"lower_limit_min",-7.69999999999999,0.699999999999989,4.5,4.93829093281147,9.59999999999997,21.5,-7.69999999999999,NA
"min",-13.0371,0.860899999999987,1.76980000000001,2.15349021526419,3.26579999999998,9.36739999999998,-13.0371,0
"max",-9.27200000000002,-0.84310000000001,-0.270099999999989,-0.155293085453358,0.365699999999993,8.73910000000003,-9.27200000000002,0.34528
"abs_max",-16.1114,-6.49530000000001,-4.54390000000003,-4.58056718851925,-2.724,4.78559999999997,-16.1114,0
"abs_min",-5.10029999999999,4.34579999999998,6.15709999999999,6.39103861709067,8.22959999999999,16.1624,-5.10029999999999,0
"diff",-11.0287,-3.62969999999999,-2.14099999999999,-2.30878330071754,-0.958499999999994,11.7625,-11.0287,0
"lower_limit_std",-37.3533785656428,1.03904974970567,1.88618688356262,2.42461651157866,2.91029129215253,142.453303826462,-37.3533785656428,NA
"upper_limit_std",-63.2139304267482,-1.65035206591765,-0.531450148871263,-0.638064474411599,0.592220107957436,129.356248537424,2,NA
"upper_limit_max_std",-86.7066309967637,-6.86569840472505,-4.19517097564128,-5.32998774513779,-2.15324488839797,21.7466583606952,-86.7066309967637,NA
"lower_limit_min_std",-6.27376498299276,3.42869002245124,4.99166427235805,6.28456322810827,7.35413293637865,60.4896103263957,-6.27376498299276,NA
"diff_std",-69.573471736599,-2.82065981424038,-1.86125290861451,-2.0306246423366,-0.841249571343001,26.058310294851,-69.573471736599,NA
"n",9,127,240,308.539465101109,403,3262,9,NA
"min_a",-12.1,2.10000000000002,4.10000000000002,4.36536203522505,6.39999999999998,14.1,-12.1,0
"max_a",-13.1,-2.10000000000002,-1.30000000000001,-1.58069145466406,-0.599999999999966,8.10000000000002,-13.1,0
"abs_max_a",-18.5,-8.60000000000002,-6.60000000000002,-6.63470319634704,-4.59999999999997,3.69999999999999,-18.5,0
"abs_min_a",-3.5,6.30000000000001,8.69999999999999,8.82224396607958,11.4,18.4,-3.5,0
"diff_a",-19.3,-8.20000000000005,-5.60000000000002,-5.9460534898891,-3.40000000000003,10.4,-19.3,0
