species_work,lower_limit_islands,upper_limit_islands,upper_limit_max_islands,lower_limit_min_islands,diff_islands,number_of_islands,number_of_mainland,lower_limit_mainland,upper_limit_mainland,upper_limit_max_mainland,lower_limit_min_mainland,diff_mainland,lower_limit_sd,upper_limit_sd,upper_limit_max_sd,lower_limit_min_sd,diff_sd,min,max,abs_max,abs_min,diff,lower_limit_std,upper_limit_std,upper_limit_max_std,lower_limit_min_std,diff_std
Abelmoschus moschatus,22.5,26.59999999999997,30.09999999999997,17.80000000000001,4.099999999999966,6,200,22.924299999999985,27.23999999999999,36.1116,14.217899999999986,4.3157000000000085,1.8529524934393085,0.35154456841712767,1.0087928940585875,2.0095441915663037,1.8391971498880064,-0.4242999999999846,-0.6400000000000219,-6.011600000000033,3.5821000000000254,-0.21570000000004264,-0.22898590303976515,-1.8205373016619202,-5.959201373647759,1.782543531529914,-0.11727943359045395
Abildgaardia ovata,22.5,26.399999999999977,29.69999999999999,16.80000000000001,3.8999999999999777,7,131,19.05569999999999,25.94559999999999,34.5819,8.097499999999986,6.889899999999997,1.8268839632048373,1.6141394258508412,1.9089490502568431,2.088642184811986,2.2425068175652942,3.444300000000009,0.45439999999998903,-4.881900000000009,8.702500000000025,-2.9899000000000195,1.8853414170639478,0.28151223662755576,-2.5573757452264974,4.166582511491025,-1.333284686842636
Abrus precatorius,21,27.5,34.5,14.399999999999975,6.5,88,345,19.733799999999995,28.405899999999992,39.2119,9.567499999999994,8.672099999999997,0.4838094993193379,0.12958388010081787,0.3611077246318469,0.7098574840400332,0.4922742365022991,1.2662000000000049,-0.9058999999999919,-4.7119,4.832499999999982,-2.172099999999997,2.617145801769905,-6.9908386698653455,-13.048460829254847,6.807704516259559,-4.412377977432204
Abutilon cunninghamii,21.899999999999977,25.59999999999997,30.399999999999977,15.399999999999975,3.6999999999999886,13,52,22.028599999999997,27.059199999999983,41.15120000000001,8.49109999999999,5.030599999999987,0.4334858128589067,0.28148640214864507,0.5072236546493487,0.737668587473355,0.5000737082807952,-0.12860000000002003,-1.4592000000000134,-10.751200000000033,6.908899999999985,-1.3305999999999987,-0.29666484158243367,-5.183909378434028,-21.196172342223466,9.3658590284618,-2.6608077528700163
Abutilon indicum,22.5,27.5,31,16.80000000000001,5,174,284,21.772899999999993,28.28149999999998,37.908199999999994,10.863799999999998,6.508599999999986,0.3524483079967965,0.26297700832374044,0.15276156616143546,0.15860237928452756,0.4397492688105485,0.7271000000000072,-0.7814999999999799,-6.908199999999994,5.936200000000014,-1.5085999999999862,2.0629975616356653,-2.9717426819226214,-45.222107717195975,37.42819008629538,-3.430591264154931
Abutilon oxycarpum,21.09999999999997,27.19999999999999,30.5,15.399999999999975,6.100000000000023,9,371,16.81389999999999,24.49309999999999,37.9646,5.042499999999989,7.679200000000002,1.5400677253285333,1.8806752322847595,1.9816138962052223,1.2133325702073297,2.400777184807266,4.28609999999998,2.7068999999999974,-7.464599999999997,10.357499999999987,-1.5791999999999788,2.7830594262246824,1.4393234693219676,-3.7669295791146085,8.536406467873963,-0.6577869908101266
Acacia anceps,15.899999999999975,17.19999999999999,26.69999999999999,9.5,1.3000000000000114,7,151,15.764599999999986,17.273199999999992,28.109599999999993,7.593399999999993,1.5086000000000062,0.23233773008450617,0.2697304478817961,1.7683537301442025,1.1673985006240393,0.3366591442087675,0.13539999999998997,-0.07320000000000348,-1.4096000000000046,1.9066000000000072,-0.2085999999999948,0.5827723286731867,-0.27138204297974505,-0.7971255840792991,1.6332040849639808,-0.6196178050955857
Acacia arida,25.59999999999997,27.5,33,20.19999999999999,1.900000000000034,8,138,23.79369999999999,27.358399999999996,40.0502,9.37309999999999,3.564700000000004,0.8196231402858818,0.3996112224764626,0.6631438152616065,1.4423545946738503,0.8830649544137248,1.806299999999979,0.14160000000000394,-7.050199999999997,10.826899999999998,-1.66469999999997,2.2038177196533857,0.3543444028485569,-10.63147968471776,7.506406566027691,-1.8851387903907706
Acacia aulacocarpa,23.399999999999977,26.69999999999999,29.69999999999999,17.899999999999977,3.3000000000000114,24,287,18.14189999999999,27.83689999999999,37.9648,7.585499999999992,9.695000000000002,0.979026497538694,0.7419965963189777,1.1391218365734903,1.6536669448121557,1.1925003383886537,5.258099999999988,-1.1369000000000007,-8.264800000000008,10.314499999999985,-6.394999999999991,5.370743297774913,-1.5322172711305235,-7.255413542822384,6.237350291337918,-5.362681916418681
Acacia auriculiformis,26.19999999999999,26.69999999999999,30.5,22.09999999999997,0.5,12,357,23.703499999999988,27.743499999999987,37.0777,15.320299999999987,4.04,1.606330616046414,0.3483376079166412,0.6827729409466158,1.7339043613574348,1.6275345983630796,2.496500000000001,-1.043499999999998,-6.5777,6.779699999999982,-3.54,1.5541632432708774,-2.9956570186062494,-9.633802990025483,3.9100772517189517,-2.1750689684633526
